Date : 2024-03-28 17:28:34
Directory : d:\Automatic roll call system\automatic
Total : 132 files,  25166 codes, 647 comments, 2690 blanks, all 28503 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |     17,642 |          0 |      2,255 |     19,897 |
| TypeScript         |         90 |      3,552 |        405 |        239 |      4,196 |
| TypeScript JSX     |         21 |      1,720 |        210 |        112 |      2,042 |
| JSON               |          5 |      1,106 |          0 |          5 |      1,111 |
| JavaScript         |          7 |        892 |         26 |         32 |        950 |
| CSS                |          3 |         79 |          4 |         10 |         93 |
| JavaScript JSX     |          1 |         57 |          2 |          6 |         65 |
| Less               |          1 |         47 |          0 |          7 |         54 |
| Markdown           |          1 |         37 |          0 |         22 |         59 |
| JSON with Comments |          2 |         34 |          0 |          2 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        132 |     25,166 |        647 |      2,690 |     28,503 |
| . (Files)                                                                              |          8 |     17,866 |          0 |      2,285 |     20,151 |
| config                                                                                 |          5 |        746 |        165 |         11 |        922 |
| mock                                                                                   |          5 |        789 |         10 |         29 |        828 |
| public                                                                                 |          1 |        179 |          4 |         20 |        203 |
| public\scripts                                                                         |          1 |        179 |          4 |         20 |        203 |
| src                                                                                    |        107 |      4,734 |        441 |        323 |      5,498 |
| src (Files)                                                                            |          8 |        388 |        143 |         39 |        570 |
| src\components                                                                         |          8 |        318 |         13 |         34 |        365 |
| src\components (Files)                                                                 |          1 |          6 |          7 |          2 |         15 |
| src\components\CardT                                                                   |          2 |         51 |          0 |          4 |         55 |
| src\components\Footer                                                                  |          1 |         33 |          0 |          3 |         36 |
| src\components\HeaderDropdown                                                          |          1 |         23 |          0 |          5 |         28 |
| src\components\RightContent                                                            |          2 |        133 |          5 |         18 |        156 |
| src\components\Table                                                                   |          1 |         72 |          1 |          2 |         75 |
| src\layout                                                                             |          1 |         86 |          0 |          3 |         89 |
| src\locales                                                                            |         64 |      2,104 |          0 |         72 |      2,176 |
| src\locales (Files)                                                                    |          8 |        182 |          0 |         16 |        198 |
| src\locales\bn-BD                                                                      |          7 |        241 |          0 |          7 |        248 |
| src\locales\en-US                                                                      |          7 |        241 |          0 |          7 |        248 |
| src\locales\fa-IR                                                                      |          7 |        242 |          0 |          7 |        249 |
| src\locales\id-ID                                                                      |          7 |        245 |          0 |          7 |        252 |
| src\locales\ja-JP                                                                      |          7 |        240 |          0 |          7 |        247 |
| src\locales\pt-BR                                                                      |          7 |        245 |          0 |          7 |        252 |
| src\locales\zh-CN                                                                      |          7 |        235 |          0 |          7 |        242 |
| src\locales\zh-TW                                                                      |          7 |        233 |          0 |          7 |        240 |
| src\pages                                                                              |         14 |      1,226 |        114 |         72 |      1,412 |
| src\pages (Files)                                                                      |          2 |         24 |         45 |          9 |         78 |
| src\pages\Course                                                                       |          1 |         10 |          9 |          2 |         21 |
| src\pages\Home                                                                         |          2 |        157 |          4 |          7 |        168 |
| src\pages\Message                                                                      |          1 |         52 |         15 |          2 |         69 |
| src\pages\Stu                                                                          |          2 |        130 |          4 |         14 |        148 |
| src\pages\Stu\Apply                                                                    |          1 |         68 |          0 |          5 |         73 |
| src\pages\Stu\Inquire                                                                  |          1 |         62 |          4 |          9 |         75 |
| src\pages\TableList                                                                    |          2 |        561 |         29 |         18 |        608 |
| src\pages\TableList (Files)                                                            |          1 |        356 |         29 |         13 |        398 |
| src\pages\TableList\components                                                         |          1 |        205 |          0 |          5 |        210 |
| src\pages\Tea                                                                          |          2 |        148 |          0 |         10 |        158 |
| src\pages\Tea\Adjust                                                                   |          1 |         52 |          0 |          3 |         55 |
| src\pages\Tea\Handle                                                                   |          1 |         96 |          0 |          7 |        103 |
| src\pages\User                                                                         |          2 |        144 |          8 |         10 |        162 |
| src\pages\User\Login                                                                   |          2 |        144 |          8 |         10 |        162 |
| src\services                                                                           |         12 |        612 |        171 |        103 |        886 |
| src\services\ant-design-pro                                                            |          4 |        178 |         29 |         24 |        231 |
| src\services\swagger                                                                   |          5 |        322 |         59 |         49 |        430 |
| src\services\user                                                                      |          3 |        112 |         83 |         30 |        225 |
| tests                                                                                  |          1 |         57 |          2 |          6 |         65 |
| types                                                                                  |          5 |        795 |         25 |         16 |        836 |
| types (Files)                                                                          |          1 |         84 |         25 |         12 |        121 |
| types\cache                                                                            |          4 |        711 |          0 |          4 |        715 |
| types\cache (Files)                                                                    |          2 |        387 |          0 |          2 |        389 |
| types\cache\mock                                                                       |          2 |        324 |          0 |          2 |        326 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Automatic roll call system\automatic\.eslintrc.js                                   | JavaScript         |          7 |          0 |          1 |          8 |
| d:\Automatic roll call system\automatic\.prettierrc.js                                 | JavaScript         |         21 |          0 |          1 |         22 |
| d:\Automatic roll call system\automatic\README.md                                      | Markdown           |         37 |          0 |         22 |         59 |
| d:\Automatic roll call system\automatic\config\config.ts                               | TypeScript         |         56 |         97 |          4 |        157 |
| d:\Automatic roll call system\automatic\config\defaultSettings.ts                      | TypeScript         |         39 |          7 |          2 |         48 |
| d:\Automatic roll call system\automatic\config\oneapi.json                             | JSON               |        593 |          0 |          1 |        594 |
| d:\Automatic roll call system\automatic\config\proxy.ts                                | TypeScript         |         21 |         28 |          2 |         51 |
| d:\Automatic roll call system\automatic\config\routes.ts                               | TypeScript         |         37 |         33 |          2 |         72 |
| d:\Automatic roll call system\automatic\jest.config.ts                                 | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Automatic roll call system\automatic\jsconfig.json                                  | JSON with Comments |         11 |          0 |          1 |         12 |
| d:\Automatic roll call system\automatic\mock\listTableList.ts                          | TypeScript         |        160 |          2 |         15 |        177 |
| d:\Automatic roll call system\automatic\mock\notices.ts                                | TypeScript         |        113 |          0 |          3 |        116 |
| d:\Automatic roll call system\automatic\mock\requestRecord.mock.js                     | JavaScript         |        324 |          0 |          1 |        325 |
| d:\Automatic roll call system\automatic\mock\route.ts                                  | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Automatic roll call system\automatic\mock\user.ts                                   | TypeScript         |        187 |          8 |          9 |        204 |
| d:\Automatic roll call system\automatic\package.json                                   | JSON               |        104 |          0 |          1 |        105 |
| d:\Automatic roll call system\automatic\pnpm-lock.yaml                                 | YAML               |     17,642 |          0 |      2,255 |     19,897 |
| d:\Automatic roll call system\automatic\public\scripts\loading.js                      | JavaScript         |        179 |          4 |         20 |        203 |
| d:\Automatic roll call system\automatic\src\access.ts                                  | TypeScript         |          8 |          3 |          1 |         12 |
| d:\Automatic roll call system\automatic\src\app.tsx                                    | TypeScript JSX     |         98 |         85 |          8 |        191 |
| d:\Automatic roll call system\automatic\src\components\CardT\index.module.css          | CSS                |         21 |          0 |          2 |         23 |
| d:\Automatic roll call system\automatic\src\components\CardT\index.tsx                 | TypeScript JSX     |         30 |          0 |          2 |         32 |
| d:\Automatic roll call system\automatic\src\components\Footer\index.tsx                | TypeScript JSX     |         33 |          0 |          3 |         36 |
| d:\Automatic roll call system\automatic\src\components\HeaderDropdown\index.tsx        | TypeScript JSX     |         23 |          0 |          5 |         28 |
| d:\Automatic roll call system\automatic\src\components\RightContent\AvatarDropdown.tsx | TypeScript JSX     |        105 |          5 |         14 |        124 |
| d:\Automatic roll call system\automatic\src\components\RightContent\index.tsx          | TypeScript JSX     |         28 |          0 |          4 |         32 |
| d:\Automatic roll call system\automatic\src\components\Table\index.tsx                 | TypeScript JSX     |         72 |          1 |          2 |         75 |
| d:\Automatic roll call system\automatic\src\components\index.ts                        | TypeScript         |          6 |          7 |          2 |         15 |
| d:\Automatic roll call system\automatic\src\global.less                                | Less               |         47 |          0 |          7 |         54 |
| d:\Automatic roll call system\automatic\src\global.tsx                                 | TypeScript JSX     |         77 |          9 |          7 |         93 |
| d:\Automatic roll call system\automatic\src\layout\index.tsx                           | TypeScript JSX     |         86 |          0 |          3 |         89 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD.ts                           | TypeScript         |         24 |          0 |          2 |         26 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\component.ts                 | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\globalHeader.ts              | TypeScript         |         17 |          0 |          1 |         18 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\menu.ts                      | TypeScript         |         52 |          0 |          1 |         53 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\pages.ts                     | TypeScript         |         70 |          0 |          1 |         71 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\pwa.ts                       | TypeScript         |          7 |          0 |          1 |          8 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\settingDrawer.ts             | TypeScript         |         31 |          0 |          1 |         32 |
| d:\Automatic roll call system\automatic\src\locales\bn-BD\settings.ts                  | TypeScript         |         59 |          0 |          1 |         60 |
